Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
567043,Bečov,1 286,489,486,"5,96","0,41","0,00","8,64","2,46","13,58","0,41","1,02","1,02","0,20","0,20","3,70","0,00","1,64","43,41","0,00","0,61","1,02","0,00","0,00","0,00","0,20","15,22","0,20"
567051,Bělušice,626,223,223,"10,76","0,89","0,00","6,72","2,69","11,21","1,34","5,38","1,34","0,44","1,34","7,62","0,00","0,89","31,39","0,44","0,89","1,34","0,00","0,44","0,00","2,69","8,52","3,58"
567060,Braňany,974,478,474,"5,90","0,21","0,00","4,85","1,68","15,82","2,53","1,89","0,42","0,63","0,21","5,48","0,00","0,63","42,40","0,21","0,84","0,00","0,00","0,84","0,00","0,21","14,97","0,21"
567078,Brandov,202,120,120,"8,33","0,00","0,00","3,33","1,66","12,50","3,33","0,83","1,66","0,00","0,83","8,33","0,00","1,66","45,00","0,00","0,83","0,00","0,00","0,00","0,00","1,66","10,00","0,00"
567108,Český Jiřetín,78,57,57,"8,77","0,00","0,00","8,77","10,52","8,77","0,00","0,00","0,00","0,00","0,00","12,28","0,00","3,50","33,33","0,00","0,00","1,75","0,00","0,00","0,00","0,00","12,28","0,00"
567141,Havraň,480,262,260,"2,69","0,00","0,38","17,69","1,15","8,84","0,38","0,38","2,30","0,00","0,00","5,00","0,00","2,69","36,92","0,00","0,76","0,76","0,00","0,38","0,38","0,76","18,07","0,38"
567167,Hora Svaté Kateřiny,361,220,219,"10,04","0,45","0,00","5,47","7,30","7,76","4,10","0,00","0,45","0,00","0,00","10,04","0,00","4,10","37,89","0,00","0,45","0,91","0,00","0,00","0,00","0,45","10,50","0,00"
567175,Horní Jiřetín,1 728,879,873,"6,87","0,45","0,11","5,49","3,09","9,04","8,36","0,57","1,26","0,22","0,11","5,38","0,00","3,09","41,80","0,00","0,11","0,68","0,00","0,91","0,00","0,68","11,34","0,34"
567191,Klíny,118,78,78,"10,25","0,00","0,00","8,97","10,25","7,69","0,00","0,00","0,00","0,00","1,28","7,69","0,00","6,41","35,89","0,00","0,00","0,00","0,00","1,28","0,00","0,00","10,25","0,00"
567221,Korozluky,158,118,118,"13,55","0,84","0,00","6,77","5,93","10,16","1,69","0,00","0,00","0,00","0,00","11,01","0,00","1,69","33,05","0,00","0,00","1,69","0,00","0,00","0,00","0,00","13,55","0,00"
